Power Level,Prefix Name,Suffix Name,Description
curse,Jealous,of Jealousy,"WHILE, you cannot equip other items of the same type (if this item is a sword you cannot equip other swords, etc.)."
curse,Broken Mirror,of the Broken Mirror,"This surface of this ITEM is polished to a reflective shine. WHILE, your reflection does not appear on surfaces such as mirrors or water."
curse,Conductive,of Conduction,"This ITEM incorporates a dark metal into its construction. WHILE, for each hour you spend outdoors in a thunderstorm there is a 10% chance that you will get struck by lightning."
curse,Demonic,of Demons,"WHILE, your eyes glow a sinister red."
curse,Tainted,of the Tainted,"WHILE, small beasts such as rabbits, squirrels, dogs, or cats are unnaturally frightened of you."
curse,Rancid,of Rancid Odors,This ITEM emits a foul odor that fills the space within 10 ft. of it.
curse,Screaming,of Screaming,The image of a terrified face is carved or inscribed upon this item. Faint screaming can be heard emanating from this ITEM.
curse,Restless,of the Restless,"WHILE, your shadow seems to be out of sync with your movements and you leave two sets of footprints wherever you walk."
curse,Elder,of the Elder,"Ominous whispers in an unknown language can be heard emanating from this ITEM. WHILE, your sleep is plagued by nightmares."
curse,Wrathful,of Wrath,"Whenever you use this ITEM, a shock of pain courses through your body."
curse,Hungry,of Hunger,"WHILE, you require double the amount of food and water each day to prevent the effects of hunger or starvation."
curse,Nightmare,of Nightmares,"Creatures that sleep within 5 ft. of this ITEM do not have pleasant dreams, only nightmares."
curse,Carnal,of Carnage,Blood continuously drips from this ITEM.
curse,Unstable,of Instability,"Each time this ITEM is used roll a d20. On a roll of 1 this ITEM explodes, dealing 2d6 fire damage to the creature using it."
curse,Possessed,of the Possessed,"The air around this ITEM is unnaturally cold. WHILE, when you look into a mirror or reflective surface, you see a shadowy figure behind you in the reflection."
curse,Bald,of Balding,"When you touch this ITEM, all of your hair harmlessly falls off of your body."
curse,Ashen,of Ash,"This ITEM is a dull greyish color. WHILE, all food and drink you consume tastes like ash."
curse,Scorned Chef's,of the Scorned Chef,"WHILE, all food you eat tastes bland and under seasoned."
curse,Unsettling,of Unsettling,"WHILE, you have the unshakeable sensation that someone is watching you."
curse,Paranoid,of Paranoia,"WHILE, you are convinced that everyone around you is out to get you."
curse,Sticky,of Stickiness,"When you touch this ITEM, you cannot remove your hand from it unless you succeed on a DC 12 Strength check."
curse,Blinding,of Blinding,"When you touch this ITEM, make a DC 12 Constitution saving throw. On a failure, you are blinded for 1d10 minutes."
curse,Paralyzing,of Paralysis,"When you touch this ITEM, make a DC 12 Constitution saving throw. On a failure, you are paralyzed for 1d4 minutes."
curse,Lie Detecting,of Lie Detection,"WHILE, it glows a faint reddish color when you tell a lie."
curse,Sluggish,of Sluggishness,"WHILE, your feet drag and your movements feel lethargic. Your walking speed is reduced by 5 ft."
curse,Clumsy,of Clumsiness,"WHILE, you have disadvantage on Dexterity(Acrobatics) checks."
curse,Cruel,of Animal Cruelty,"This ITEM is made from the pelts or bones of animals. WHILE, you have disadvantage on Wisdom(Animal Handling) checks."
curse,Failed Apprentice's,of the Failed Apprentice,"WHILE, you have disadvantage on Intelligence(Arcana) checks."
curse,Lethargic,of Lethargy,"WHILE, you have disadvantage on Strength(Athletics) checks."
curse,Bad Liar's,of the Bad Liar,"WHILE, you have disadvantage on Charisma(Deception) checks."
curse,Forgetful,of Forgetfulness,"WHILE, you have disadvantage on Intelligence(History) checks."
curse,Oblivious,of Obliviousness,"WHILE, you have disadvantage on Wisdom(Insight) checks."
curse,Cute Little,of the Cutie-Pie,"WHILE, you have disadvantage on Charisma(Intimidation) checks."
curse,Failed Detective's,of the Failed Detective,"WHILE, you have disadvantage on Intelligence(Investigation) checks."
curse,Failed Surgeon's,of the Failed Surgeon,"This ITEM is stained with long dried blood. WHILE, you have disadvantage on Wisdom(Medicine) checks."
curse,Failed Druid's,of the Failed Druid,"This ITEM has a charred handprint on it. WHILE, you have disadvantage on Intelligence(Nature) checks."
curse,Unaware,of the Unaware,"WHILE, you have disadvantage on Wisdom(Perception) checks."
curse,Failed Actor's,of the Failed Actor,"WHILE, you have disadvantage on Charisma(Performance) checks."
curse,Tongue-Tied,of the Tongue-Tied,"WHILE, you have disadvantage on Charisma(Persuasion) checks."
curse,Heretic,of the Heretic,"This ITEM has a defaced religious symbol carved or inscribed upon it. WHILE, you have disadvantage on Intelligence(Religion) checks."
curse,Fumbling,of Fumbling,"WHILE, you have disadvantage on Dexterity(Sleight of Hand) checks."
curse,Noisy,of Noise,"This ITEM seems to rattle and creak as you move. WHILE, you have disadvantage on Dexterity(Stealth) checks."
curse,Naive,of Naivete,"WHILE, you have disadvantage on Wisdom(Survival) checks."
curse,Sickly,of Sickness,"WHILE, you have disadvantage on checks or saving throws made to resist disease."
curse,Vulnerable (Slashing),of Slashing Vulnerability,"WHILE, you are vulnerable to slashing damage."
curse,Vulnerable (Piercing),of Piercing Vulnerability,"WHILE, you are vulnerable to piercing damage."
curse,Vulnerable (Bludgeoning),of Bludgeoning Vulnerability,"WHILE, you are vulnerable to bludgeoning damage."
curse,Vulnerable (Poison),of Poison Vulnerability,"WHILE, you are vulnerable to poison damage."
curse,Vulnerable (Acid),of Acid Vulnerability,"WHILE, you are vulnerable to acid damage."
curse,Vulnerable (Fire),of Fire Vulnerability,"WHILE, you are vulnerable to fire damage."
curse,Vulnerable (Cold),of Cold Vulnerability,"WHILE, you are vulnerable to cold damage."
curse,Vulnerable (Radiant),of Radiant Vulnerability,"WHILE, you are vulnerable to radiant damage."
curse,Vulnerable (Necrotic),of Necrotic Vulnerability,"WHILE, you are vulnerable to necrotic damage."
curse,Vulnerable (Lightning),of Lightning Vulnerability,"WHILE, you are vulnerable to lightning damage."
curse,Vulnerable (Thunder),of Thunder Vulnerability,"WHILE, you are vulnerable to thunder damage."
curse,Vulnerable (Force),of Force Vulnerability,"WHILE, you are vulnerable to force damage."
curse,Vulnerable (Psychic),of Psychic Vulnerability,"WHILE, you are vulnerable to psychic damage."
curse,Blighted,of the Blight,Flowers and other small plants within 10 ft. of this item wilt and die.
curse,Sandy,of Sand,"WHILE, you constantly find sand in your pockets, shoes, and many other places."
curse,Hopscotch,of Hopscotch,"WHILE, you can only have one foot touching the ground or floor at a time."
curse,Bob's,of Bob,"The name ""Bob"" is carved or inscribed on this ITEM. WHILE, your true name is forgotten and you can only be referred to as ""Bob."" Anyone who knew your true name only remembers you as ""Bob."""
curse,Songbird,of the Songbird,"WHILE, you can only communicate through song."
curse,Head Splitting,of Chronic Migraines,"This ITEM causes chronic headaches to those that touch it. WHILE, when you complete a long rest you take 1d4 psychic damage."
curse,Haiku,of Haikus,"WHILE, you can only communicate using haikus."
curse,Soluble,of Dissolution,This ITEM dissolves into nothing and is permanently destroyed if it touches any amount of water.
curse,Rhyming,of Rhymes,"WHILE, you can only communicate using rhyming couplets."
curse,Narc's,of the Narc,"WHILE, your shifty eyes and strange behavior give off the wrong vibe. You have disadvantage on Charisma checks made to influence teens, hip young folks, or anyone under the influence of drugs or alcohol."
curse,Vampiric,of the Vampire,"This ITEM feeds off the life force of nearby creatures. Each time you complete a short or long rest WHILE, your current and maximum hit points are reduced by 1. Remove curse, greater restoration, or some kind of similar magic can restore your maximum hit points to their original value."
curse,Shrinking,of Shrinking,"Each time you complete a long rest WHILE, your height is reduced by 1 inch (2.5 cm). Remove curse, greater restoration, or some kind of similar magic can restore you to your original height."
curse,Quick Death,of the Quick Death,"This ITEM has a skull carved or inscribed upon it. WHILE, you have disadvantage on death saving throws."
curse,Schrödinger's,of Schrödinger,This ITEM only exists on your current plane while someone is looking at it.
